,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
177,34, Private,483777, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
178,18, Private,183930, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States, <=50K
179,33, Private,37274, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, United-States, <=50K
184,37, Federal-gov,29054, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,42, United-States, >50K
192,41, Local-gov,523910, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
198,35, Private,138992, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,7298,0,40, United-States, >50K
199,24, Self-emp-not-inc,32921, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
204,37, State-gov,48211, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
212,35, Private,153790, Some-college,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
218,45, Private,109434, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States, <=50K
219,25, Private,255004, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
231,41, Private,130408, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,0,0,38, United-States, <=50K
235,59, State-gov,268700, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
242,24, State-gov,273905, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
245,56, Private,203580, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,35, ?, <=50K
250,41, Private,112763, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
251,42, Private,390781, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States, <=50K
253,19, Local-gov,27382, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
266,19, ?,218956, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,24, Canada, <=50K
270,61, Private,69867, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
275,43, Private,477983, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K
280,22, Private,34918, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,15, Germany, <=50K
283,60, Private,173960, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,42, United-States, <=50K
285,57, Federal-gov,425161, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,15024,0,40, United-States, >50K
287,50, Private,176609, Some-college,10, Divorced, Other-service, Not-in-family, White, Male,0,0,45, United-States, <=50K
288,25, Private,371987, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
289,50, Private,193884, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador, <=50K
290,36, Private,200352, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
291,31, Private,127595, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
304,24, Private,303296, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, Laos, <=50K
308,35, Private,193815, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
321,43, Private,50356, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1485,50, United-States, <=50K
322,35, Private,186110, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, <=50K
323,29, Private,200381, 11th,7, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
327,43, Private,187728, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1887,50, United-States, >50K
333,55, Local-gov,98545, 10th,6, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
337,49, Private,71195, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
341,38, Private,296478, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
344,22, State-gov,293364, Some-college,10, Never-married, Protective-serv, Own-child, Black, Female,0,0,40, United-States, <=50K
356,65, Private,161400, 11th,7, Widowed, Other-service, Unmarried, Other, Male,0,0,40, United-States, <=50K
363,43, Private,174575, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,1564,45, United-States, >50K
364,22, Private,410439, HS-grad,9, Married-spouse-absent, Sales, Not-in-family, White, Male,0,0,55, United-States, <=50K
365,28, Private,92262, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
367,22, Private,362589, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,0,0,15, United-States, <=50K
368,57, Private,212448, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, >50K
372,40, State-gov,184018, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States, >50K
375,20, Local-gov,350845, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, United-States, <=50K
376,33, Private,267404, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K
382,25, Private,344991, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
384,36, Local-gov,117312, Some-college,10, Married-civ-spouse, Transport-moving, Wife, White, Female,0,0,40, United-States, <=50K
386,29, Private,134152, HS-grad,9, Separated, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
397,20, ?,137300, HS-grad,9, Never-married, ?, Other-relative, White, Female,0,0,35, United-States, <=50K
398,25, Private,86872, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States, >50K
404,28, Private,166481, 7th-8th,4, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,2179,40, Puerto-Rico, <=50K
405,41, Private,445382, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,65, United-States, >50K
411,24, Private,241951, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,40, United-States, <=50K
419,34, State-gov,240283, HS-grad,9, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
420,20, Private,61777, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, United-States, <=50K
421,17, Private,175024, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,2176,0,18, United-States, <=50K
422,32, State-gov,92003, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
434,27, Private,116358, Some-college,10, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,1980,40, Philippines, <=50K
435,33, Private,208405, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
436,34, Local-gov,284843, HS-grad,9, Never-married, Farming-fishing, Not-in-family, Black, Male,594,0,60, United-States, <=50K
442,24, Federal-gov,191073, HS-grad,9, Never-married, Armed-Forces, Own-child, White, Male,0,0,40, United-States, <=50K
448,20, Private,146538, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
453,42, Private,197583, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, ?, >50K
456,30, Private,180374, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
457,38, Private,351299, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, United-States, <=50K
458,23, Private,54012, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
459,32, ?,115745, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
463,50, Private,193374, 1st-4th,2, Married-spouse-absent, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
481,43, Self-emp-not-inc,170721, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States, <=50K
484,52, ?,271749, 12th,8, Never-married, ?, Other-relative, Black, Male,594,0,40, United-States, <=50K
486,63, ?,401531, 1st-4th,2, Married-civ-spouse, ?, Husband, White, Male,0,0,35, United-States, <=50K
491,46, Federal-gov,371373, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
496,20, Private,262749, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
498,26, Private,64293, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
505,24, Private,388093, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States, <=50K
519,34, Private,108116, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
523,37, Local-gov,186035, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
528,38, Self-emp-not-inc,190387, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
530,44, Private,109339, 11th,7, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,46, Puerto-Rico, <=50K
531,26, Private,108658, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
536,57, Private,190942, 1st-4th,2, Widowed, Priv-house-serv, Not-in-family, Black, Female,0,0,30, United-States, <=50K
551,36, Self-emp-not-inc,27053, HS-grad,9, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
552,72, Private,205343, 11th,7, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
557,31, Private,323069, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,20, ?, <=50K
570,24, Private,354351, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
572,17, Private,242718, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,12, United-States, <=50K
580,65, ?,195733, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,0,0,30, United-States, >50K
584,31, Self-emp-not-inc,340939, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
590,42, ?,137390, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
591,55, ?,105138, HS-grad,9, Married-civ-spouse, ?, Wife, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
592,60, Private,39352, 7th-8th,4, Never-married, Transport-moving, Not-in-family, White, Male,0,0,48, United-States, >50K
596,23, ?,99399, Some-college,10, Never-married, ?, Unmarried, Amer-Indian-Eskimo, Female,0,0,25, United-States, <=50K
600,32, Private,239824, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
602,60, Private,51290, 7th-8th,4, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
612,24, Private,249909, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
614,27, Private,109881, Bachelors,13, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
628,33, Private,205469, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
630,47, Self-emp-not-inc,165039, Some-college,10, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
632,43, Private,154374, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,60, United-States, >50K
637,33, Private,175697, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
638,47, Self-emp-inc,248145, 5th-6th,3, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Cuba, <=50K
644,31, Private,55849, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
645,50, Self-emp-inc,195322, Doctorate,16, Separated, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
650,20, Private,130959, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
652,35, Private,292472, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Taiwan, >50K
658,44, Private,219288, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
662,27, Private,111900, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
666,27, State-gov,249362, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,3411,0,40, United-States, <=50K
669,24, Private,172146, 9th,5, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,1721,40, United-States, <=50K
671,17, ?,80077, 11th,7, Never-married, ?, Own-child, White, Female,0,0,20, United-States, <=50K
675,22, Private,240817, HS-grad,9, Never-married, Sales, Own-child, White, Female,2597,0,40, United-States, <=50K
683,23, Local-gov,430828, Some-college,10, Separated, Exec-managerial, Unmarried, Black, Male,0,0,40, United-States, <=50K
689,26, Private,167350, HS-grad,9, Never-married, Other-service, Other-relative, White, Male,0,0,30, United-States, <=50K
695,25, ?,202480, Assoc-acdm,12, Never-married, ?, Other-relative, White, Male,0,0,45, United-States, <=50K
698,30, Private,189620, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Poland, <=50K
701,31, Private,243605, Bachelors,13, Widowed, Sales, Unmarried, White, Female,0,1380,40, Cuba, <=50K
702,21, Private,163870, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
705,44, Private,63042, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Female,0,0,50, United-States, >50K
706,40, Private,229148, 12th,8, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, Jamaica, <=50K
711,36, Private,70282, Some-college,10, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
722,29, Private,271328, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,4650,0,40, United-States, <=50K
729,65, Self-emp-not-inc,118474, 11th,7, Married-civ-spouse, Exec-managerial, Husband, White, Male,9386,0,59, ?, >50K
734,45, ?,51164, Some-college,10, Married-civ-spouse, ?, Wife, Black, Female,0,0,40, United-States, <=50K
736,36, Private,131414, Some-college,10, Never-married, Sales, Not-in-family, Black, Female,0,0,36, United-States, <=50K
746,55, Private,197422, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,7688,0,40, United-States, >50K
750,29, State-gov,356089, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,40, United-States, >50K
754,39, Private,48093, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
755,27, Private,31757, Assoc-voc,11, Never-married, Craft-repair, Own-child, White, Male,0,0,38, United-States, <=50K
756,54, Private,285854, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
761,59, Local-gov,420537, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,38, United-States, >50K
763,53, Self-emp-inc,128272, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
764,51, Private,386773, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,55, United-States, >50K
765,32, Private,283268, 10th,6, Separated, Other-service, Unmarried, White, Female,0,0,42, United-States, <=50K
768,47, Self-emp-not-inc,106252, Bachelors,13, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
776,36, Private,51838, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
777,34, Private,73585, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, ?, <=50K
779,54, Private,279129, Some-college,10, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
782,40, Private,130760, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
783,41, Self-emp-not-inc,49572, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
793,23, Private,211046, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,2463,0,40, United-States, <=50K
795,22, Private,162343, Some-college,10, Never-married, Other-service, Other-relative, Black, Male,0,0,20, United-States, <=50K
799,43, Private,274363, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, England, >50K
801,24, Private,106085, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,1721,30, United-States, <=50K
802,68, Self-emp-not-inc,315859, 11th,7, Never-married, Farming-fishing, Unmarried, White, Male,0,0,20, United-States, <=50K
808,64, Private,270333, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
809,20, Private,138768, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,30, United-States, <=50K
828,43, Private,233130, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,25, United-States, <=50K
831,53, Private,194259, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,4386,0,40, United-States, >50K
841,35, Private,135162, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
846,40, Local-gov,33274, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,50, United-States, <=50K
848,39, Private,138192, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
855,34, Private,111567, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
861,43, Private,191547, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico, <=50K
863,28, Self-emp-inc,142712, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
871,24, Private,121313, Some-college,10, Never-married, Transport-moving, Own-child, White, Male,0,0,50, United-States, <=50K
873,51, Self-emp-not-inc,160724, Bachelors,13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,2415,40, China, >50K
874,55, Private,282753, 5th-6th,3, Divorced, Other-service, Unmarried, Black, Male,0,0,25, United-States, <=50K
883,38, Private,95336, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
893,37, Private,183800, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,50, United-States, >50K
898,30, Private,87418, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
904,35, Private,152375, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
908,37, Self-emp-not-inc,168496, HS-grad,9, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,10, United-States, <=50K
911,38, Private,278924, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,44, United-States, <=50K
916,43, Private,158926, Masters,14, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,50, South, <=50K
917,67, Self-emp-inc,76860, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
929,33, Private,373662, 1st-4th,2, Married-spouse-absent, Priv-house-serv, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
932,51, Local-gov,241843, Preschool,1, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
936,47, Private,21906, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,25, United-States, <=50K
937,41, Private,132222, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2415,40, United-States, >50K
944,20, Private,241752, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
945,54, Local-gov,166398, Some-college,10, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,35, United-States, <=50K
949,44, Self-emp-not-inc,325159, Some-college,10, Divorced, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
950,44, State-gov,174675, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
958,33, Self-emp-not-inc,123424, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
968,48, Private,164966, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
970,34, Private,202046, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, >50K
980,49, Private,123207, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,44, United-States, <=50K
989,51, Private,122159, Some-college,10, Widowed, Prof-specialty, Not-in-family, White, Female,3325,0,40, United-States, <=50K
993,47, Private,192835, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States, >50K
997,48, Federal-gov,33109, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Male,0,0,58, United-States, >50K
1002,38, State-gov,343642, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
1003,23, Local-gov,115244, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,60, United-States, <=50K
1012,50, Private,767403, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3103,0,40, United-States, >50K
1018,22, Private,122346, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
1021,48, Local-gov,123075, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
1022,42, Private,209370, HS-grad,9, Separated, Sales, Not-in-family, White, Female,0,0,30, United-States, <=50K
1024,23, Private,129042, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
1035,19, ?,241616, HS-grad,9, Never-married, ?, Unmarried, White, Male,0,2001,40, United-States, <=50K
1037,37, Private,123785, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,0,75, United-States, <=50K
1040,90, Private,137018, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
1045,28, Private,187160, Prof-school,15, Divorced, Prof-specialty, Unmarried, White, Male,0,0,55, United-States, <=50K
1049,36, Private,156667, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,50, United-States, >50K
1066,35, Private,199352, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,80, United-States, >50K
1074,17, Private,220384, 11th,7, Never-married, Adm-clerical, Own-child, White, Male,0,0,15, United-States, <=50K
1080,43, Private,173728, Bachelors,13, Separated, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
1083,41, Local-gov,195258, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
1100,68, ?,140282, 7th-8th,4, Married-civ-spouse, ?, Husband, White, Male,0,0,8, United-States, <=50K
1103,41, Private,118619, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, United-States, <=50K
1105,34, Local-gov,167999, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,33, United-States, <=50K
1106,31, Private,51259, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,47, United-States, <=50K
1114,34, Private,290763, HS-grad,9, Divorced, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
1123,36, Private,112497, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
1130,30, Private,347132, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, <=50K
1131,34, ?,181934, HS-grad,9, Divorced, ?, Not-in-family, White, Female,0,0,40, United-States, <=50K
1133,37, Private,189382, Assoc-voc,11, Never-married, Adm-clerical, Own-child, White, Female,0,0,38, United-States, <=50K
1140,19, Private,194608, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
